type,phone,F1_25,F2_25,F3_25,B1_25,B2_25,B3_25,F1_75,F2_75,F3_75,B1_75,B2_75,B3_75
means,a0,687.7142857143,1185.9285714286,2544.8571428571,2.1861778001,2.1711907662,2.5587360178,704.5,1231.1428571429,2397.9285714286,2.2489762043,2.2412361392,2.600286578
means,a1,714.2617499536,1220.4960059446,2642.399405536,2.0632534732,2.1345099432,2.5375061828,703.0118892811,1222.633104217,2625.7737321196,2.0614049869,2.1402716761,2.5348704612
means,i0,432.752616384,1996.3108985926,2668.0590039697,1.9476379597,2.447410986,2.5231223706,411.1632984482,1948.8072897871,2668.0902201371,2.0541411614,2.5668676489,2.5926664016
means,i1,409.390557377,2035.3921311475,2723.2790819672,1.932026887,2.4441566227,2.5344946045,382.0266229508,2000.3741639344,2695.2203278689,1.9878397277,2.5373695984,2.5711566933
means,u0,402.6846153846,1368.4846153846,2410.5,2.0155680894,2.5333039486,2.6406351073,465.6461538462,1291.0769230769,2378.4076923077,1.9128912341,2.2519579728,2.5015665206
means,ul0,424.3477011494,1085.1867816092,2468.275862069,1.8191325395,2.1999434967,2.5225611273,406.9252873563,898.1235632184,2532.5833333333,1.9186922308,2.1630354275,2.5453349035
means,u1,408.8784409921,1622.5849005179,2482.931316435,1.8829757413,2.3547500752,2.497386237,389.7917688744,1470.4333605887,2452.7549741074,1.9464304826,2.427268585,2.5252825621
means,ul0,424.3477011494,1085.1867816092,2468.275862069,1.8191325395,2.1999434967,2.5225611273,406.9252873563,898.1235632184,2532.5833333333,1.9186922308,2.1630354275,2.5453349035
means,w,432.142804394,1076.8675343857,2433.3088710422,2.2669979531,2.6046307745,2.7057702053,471.7564848149,1008.3373949968,2418.9373211483,2.018273145,2.1040623673,2.5578687207
means,j,404.3214986269,1929.2877599059,2793.6327971754,2.2041339704,2.5963718337,2.6196693657,398.8566104355,2047.7787367595,2736.9460572774,2.0193634324,2.4067295273,2.5769792159
means,cerd_a,738.930491255144,1608.40020576132,2625.98463220165,2.07352742581133,2.24767839893531,2.52847800569318,700.690586419753,1608.76292438272,2635.06757973251,2.16308149004884,2.30630689864331,2.55757513027263
means,cerd_i,428.807253463733,2228.38467807661,2890.18347595762,1.94583736764012,2.37298375339601,2.46196206068157,439.44152404238,2151.76568867156,2833.16147106764,1.99451735845361,2.43507491005246,2.48823416773004
means,cerd_u,496.227499042512,1159.53312906932,2530.50210647262,2.11042385674166,2.4734770244436,2.61140146228376,501.196476445806,1306.01608579088,2546.28533129069,2.12058557419681,2.46806134731759,2.56775635838278
matrix,a0,0.0002232188,-0.0000403,-0.00000905,-0.0090043271,0.008688164,0.0249114026,-0.0000376,0.0000258,-0.00000978,0.0340048629,-0.0285784286,-0.0161647973
matrix,a0,-0.0000403,0.0001610757,-0.00000538,0.0180413336,0.0046452763,-0.0232122385,-0.0000374,-0.0000946,0.0000201,-0.0177914628,0.0186895955,0.019425709
matrix,a0,-0.00000905,-0.00000538,0.0000125,-0.0032087203,0.0076234254,-0.0047059025,-0.00000189,0.00000761,-0.00000537,0.0006714559,-0.0045160934,-0.0005689526
matrix,a0,-0.0090043271,0.0180413336,-0.0032087203,27.3464293816,-8.5199626969,-3.1607650782,-0.0238878629,-0.0125501635,0.0006679461,-20.2993431656,1.4538492195,0.3009934049
matrix,a0,0.008688164,0.0046452763,0.0076234254,-8.5199626969,17.6533937371,-1.6854206834,-0.0021882168,-0.0030470503,-0.0026900312,7.8007154138,-7.6579723741,0.7174386548
matrix,a0,0.0249114026,-0.0232122385,-0.0047059025,-3.1607650782,-1.6854206834,19.1784045579,-0.0078710496,0.0152169155,-0.001212659,1.6140415644,0.0297014554,-11.7704066142
matrix,a0,-0.0000376,-0.0000374,-0.00000189,-0.0238878629,-0.0021882168,-0.0078710496,0.0001952977,0.0000246,-0.000017,0.0201718776,-0.0214362033,0.0137350591
matrix,a0,0.0000258,-0.0000946,0.00000761,-0.0125501635,-0.0030470503,0.0152169155,0.0000246,0.0000956,-0.0000189,0.0150921061,-0.0153677045,-0.0192862924
matrix,a0,-0.00000978,0.0000201,-0.00000537,0.0006679461,-0.0026900312,-0.001212659,-0.000017,-0.0000189,0.0000152,-0.0032992083,0.015727648,0.0014968343
