type,phone,F1_25,F2_25,F3_25,B1_25,B2_25,B3_25,F1_75,F2_75,F3_75,B1_75,B2_75,B3_75
means,i,425.578729281768,2503.83839779006,3572.60497237569,1.99581765835289,2.25469067445781,2.62780770183563,411.352209944751,2541.97099447514,3707.12430939227,1.99656887541141,2.43115758299598,2.63610673709419
means,ɨ,433.25,1864.34642857143,3031.26071428571,1.84447461396544,2.21522220157159,2.56062855349844,434.364285714286,1844.85357142857,3059.425,1.97057459450257,2.30118957150902,2.55485263634816
means,e,533.41081871345,2275.75877192982,3207.10380116959,2.07559720772883,2.32267899636345,2.57903320839723,577.99269005848,2149.11257309942,3135.97953216374,2.06583997429972,2.39265471165559,2.61448653431312
means,a,747.636528028933,1539.58408679928,2965.9349005425,2.1539753814025,2.30932000751172,2.65823620274973,815.728752260398,1553.39059674503,2970.51175406872,2.26229576193412,2.44084027845271,2.71861879942474
means,o,601.790909090909,1149.72727272727,2890.07272727273,2.15904854678318,2.60402591083664,2.75944790287468,588.554545454545,1275.1,2900.2,2.30409622509796,2.87532147751962,2.89165651876158
means,ɯ,430.918215613383,1573.74721189591,2975.28252788104,1.97079731714524,2.44750123684414,2.70722871904426,435.788104089219,1713.49442379182,3077.70260223048,2.27577533798244,2.64655331329184,2.8064386728686
means,á,747.636528028933,1539.58408679928,2965.9349005425,2.1539753814025,2.30932000751172,2.65823620274973,815.728752260398,1553.39059674503,2970.51175406872,2.26229576193412,2.44084027845271,2.71861879942474
means,aá,747.636528028933,1539.58408679928,2965.9349005425,2.1539753814025,2.30932000751172,2.65823620274973,815.728752260398,1553.39059674503,2970.51175406872,2.26229576193412,2.44084027845271,2.71861879942474
means,áá,747.636528028933,1539.58408679928,2965.9349005425,2.1539753814025,2.30932000751172,2.65823620274973,815.728752260398,1553.39059674503,2970.51175406872,2.26229576193412,2.44084027845271,2.71861879942474
means,é,533.41081871345,2275.75877192982,3207.10380116959,2.07559720772883,2.32267899636345,2.57903320839723,577.99269005848,2149.11257309942,3135.97953216374,2.06583997429972,2.39265471165559,2.61448653431312
means,í,425.578729281768,2503.83839779006,3572.60497237569,1.99581765835289,2.25469067445781,2.62780770183563,411.352209944751,2541.97099447514,3707.12430939227,1.99656887541141,2.43115758299598,2.63610673709419
means,ií,425.578729281768,2503.83839779006,3572.60497237569,1.99581765835289,2.25469067445781,2.62780770183563,411.352209944751,2541.97099447514,3707.12430939227,1.99656887541141,2.43115758299598,2.63610673709419
means,ɨ́,433.25,1864.34642857143,3031.26071428571,1.84447461396544,2.21522220157159,2.56062855349844,434.364285714286,1844.85357142857,3059.425,1.97057459450257,2.30118957150902,2.55485263634816
means,ɨ́ɨ́,433.25,1864.34642857143,3031.26071428571,1.84447461396544,2.21522220157159,2.56062855349844,434.364285714286,1844.85357142857,3059.425,1.97057459450257,2.30118957150902,2.55485263634816
means,ɯ́,430.918215613383,1573.74721189591,2975.28252788104,1.97079731714524,2.44750123684414,2.70722871904426,435.788104089219,1713.49442379182,3077.70260223048,2.27577533798244,2.64655331329184,2.8064386728686
matrix,a,0.000249511081974445,-3.26889544500186E-05,3.77858877332739E-06,-0.0110581970680037,0.0029071136567807,-0.000810497797686188,-0.000153378957692454,2.68778207141796E-05,-9.75765782163333E-06,0.0116393966023846,0.00542659464086432,-0.00508632220632109
matrix,a,-3.26889544500187E-05,5.35202816651988E-05,-4.23281491791446E-06,0.00811253974254189,-0.00555352906570565,-0.00424323605101417,-3.5463725882497E-07,-3.39795635688468E-05,6.07242098583093E-06,-0.000766993062536276,0.00691883362121452,0.000681250877124005
matrix,a,3.77858877332715E-06,-4.23281491791453E-06,1.66802499793782E-05,-1.88602915351815E-05,0.00257287872346976,-0.00410746106934414,-1.68360653980101E-06,2.30132952402247E-06,-1.69318970643289E-05,0.000402116712752531,-0.00143781073695432,0.00293293865251176
matrix,a,-0.0110581970680034,0.00811253974254183,-1.88602915352167E-05,19.3527731832999,-2.54460489196117,-0.820716288445595,-0.00662597593268728,-0.00314385801161382,8.32299925036393E-05,-3.69726839507056,2.84732674704316,-1.19603997622905
matrix,a,0.00290711365678083,-0.00555352906570572,0.00257287872346983,-2.54460489196117,13.4200907348353,-2.0897019184702,0.0105635429591175,0.00136472245428306,-0.00370236970016773,0.132808907798969,-6.90627365587183,2.73069647069267
matrix,a,-0.000810497797685799,-0.00424323605101396,-0.0041074610693443,-0.820716288445648,-2.08970191847024,15.3556006785837,0.0018349441704961,0.00318765194354909,0.00326558634799765,-1.95464949105471,0.622491156806107,-8.06457588207061
matrix,a,-0.000153378957692454,-3.5463725882544E-07,-1.68360653980115E-06,-0.006625975932687,0.0105635429591177,0.00183494417049688,0.000266883567624463,-4.49437784701079E-05,-1.33755804140601E-06,-0.019082352618788,0.000649020032992201,0.00102815269353117
matrix,a,2.68778207141801E-05,-3.39795635688466E-05,2.30132952402253E-06,-0.00314385801161449,0.00136472245428264,0.0031876519435484,-4.49437784701081E-05,7.13012503637788E-05,-6.62305907860892E-06,0.00899964724691523,-0.0106721673310498,-0.00677770139299031
matrix,a,-9.75765782163321E-06,6.07242098583087E-06,-1.6931897064329E-05,8.32299925036425E-05,-0.00370236970016781,0.003265586347998,-1.33755804140612E-06,-6.62305907860886E-06,2.31875776219721E-05,-0.000853478083938756,0.00181664599117193,-0.00431940832737616
matrix,a,0.0116393966023845,-0.000766993062536093,0.000402116712752567,-3.69726839507052,0.132808907798994,-1.95464949105475,-0.0190823526187879,0.0089996472469151,-0.000853478083938781,14.7694735160701,-2.54389948362225,-0.95789467602749
matrix,a,0.00542659464086425,0.00691883362121456,-0.00143781073695436,2.84732674704329,-6.90627365587182,0.622491156806169,0.000649020032992204,-0.0106721673310501,0.00181664599117189,-2.54389948362225,18.5768590806603,-6.0752662986057
matrix,a,-0.00508632220632135,0.000681250877124075,0.00293293865251186,-1.19603997622897,2.73069647069272,-8.06457588207045,0.00102815269353157,-0.00677770139299041,-0.0043194083273759,-0.957894676027634,-6.07526629860569,22.6354245886137
matrix,e,0.000269482109347645,9.03048599627199E-06,2.86411798866288E-06,-0.000540080631493453,0.00323118625058359,0.0019459632468541,-8.46465460942453E-05,-3.4715774222609E-05,1.04235572517883E-06,0.00259632314744288,0.00125184916019714,0.00327434331627079
matrix,e,9.03048599627201E-06,4.74664661046247E-05,-8.07778192376397E-06,0.000633258241676507,-0.00335810131654792,-0.00269917308571956,-4.4796614943126E-06,-3.53770329696076E-05,1.59983491879955E-06,-0.00111580026795772,0.00142605761458405,0.00750855068889315
matrix,e,2.86411798866278E-06,-8.07778192376399E-06,2.55007290382714E-05,0.000661683930156392,0.00204074267778242,-0.00401195854547778,3.28471560463461E-06,-3.38281701824823E-06,-1.88774087950141E-05,-0.000132366734721545,-0.00251406090817175,0.00279841438362432
matrix,e,-0.000540080631493401,0.000633258241676497,0.00066168393015638,9.54657363492394,-0.606587475941809,-0.457108460071174,-0.00560269795281835,0.0016322273232195,-0.00157203871307397,-2.66492034679395,1.227902382615,0.316544103180927
matrix,e,0.00323118625058347,-0.00335810131654797,0.00204074267778244,-0.606587475941804,12.2488705171951,-1.79096668909052,-0.0189813598907072,0.00481703560851205,-0.0035983731416383,0.596651845659884,-6.72641365506309,1.54879303195055
matrix,e,0.00194596324685388,-0.00269917308571981,-0.00401195854547781,-0.457108460071174,-1.79096668909051,15.5250126887705,0.00490364724175036,0.0022711680331388,0.00377807715074434,-0.0166421386579768,1.3850159200358,-9.04858421755931
matrix,e,-8.46465460942455E-05,-4.47966149431265E-06,3.28471560463472E-06,-0.00560269795281834,-0.0189813598907072,0.00490364724175035,0.000224086940899341,-1.16371369926113E-05,-2.93740199863412E-06,-0.00277018744590932,-0.00604761229797517,0.0122131797351142
matrix,e,-3.47157742226093E-05,-3.53770329696076E-05,-3.38281701824813E-06,0.00163222732321949,0.00481703560851192,0.00227116803313795,-1.16371369926114E-05,6.21241211835539E-05,-5.68668814543176E-06,0.00436839232255978,-0.00207232484423973,-0.0099128699147338
matrix,e,1.04235572517889E-06,1.59983491879948E-06,-1.88774087950142E-05,-0.00157203871307396,-0.00359837314163828,0.00377807715074454,-2.93740199863425E-06,-5.68668814543159E-06,2.69631311770604E-05,-0.00288199824272387,0.00348908655712406,-0.00398244870199
matrix,e,0.00259632314744291,-0.00111580026795773,-0.000132366734721531,-2.66492034679395,0.596651845659889,-0.0166421386579935,-0.0027701874459093,0.00436839232255978,-0.00288199824272391,9.37326698164275,-1.74190909977738,-2.17476522019166
matrix,e,0.00125184916019721,0.00142605761458409,-0.0025140609081718,1.227902382615,-6.7264136550631,1.3850159200358,-0.00604761229797514,-0.00207232484423974,0.00348908655712404,-1.74190909977738,15.48763998335,-4.04876130139812
matrix,e,0.00327434331627077,0.00750855068889326,0.00279841438362444,0.316544103180915,1.54879303195059,-9.0485842175592,0.0122131797351142,-0.00991286991473407,-0.00398244870198982,-2.17476522019168,-4.04876130139813,17.9461028490646
matrix,i,0.000588794539025342,-3.90877457172876E-05,8.20312651987087E-06,-0.00501550978089438,0.00961258912186675,0.0170898057228403,-0.000408013727079502,7.81874799604168E-06,5.87902062610091E-07,-0.00887578742536347,-0.0134240058121697,0.00525431280301149
