type,phone,F1_25,F1_75,F2_25,F2_75,F3_25,F3_75,B1_25,B1_75,B2_25,B2_75,B3_25,B3_75
means,a,859,850,1356.63636363636,1367,2580.09090909091,2656.63636363636,291.272727272727,307.272727272727,129.909090909091,136.727272727273,329,220.090909090909
means,ɐ,595.033333333333,595.241666666667,1327.33333333333,1287.58333333333,2503.24166666667,2504.5,286.483333333333,282.458333333333,176.8,110.766666666667,263.225,183.975
means,ɑ,685.931034482759,722.620689655172,1215.8275862069,1176.62068965517,2567,2578.68965517241,347.931034482759,432.034482758621,218.758620689655,318.034482758621,274.137931034483,339.137931034483
means,ɒ,576.508982035928,596.580838323353,1115.01796407186,1070.40119760479,2539.62275449102,2549.49101796407,312.898203592814,301.179640718563,342.838323353293,269,277.191616766467,284.02994011976
means,ɑː,807.392156862745,799.941176470588,1234.35294117647,1150.96078431373,2521.11764705882,2551.1568627451,315.411764705882,311.56862745098,249.21568627451,236.137254901961,307.352941176471,369.725490196078
means,ɒː,521.425531914894,475.425531914894,1172.46808510638,982.68085106383,2597.8085106383,2628.3829787234,270.702127659574,157.191489361702,298.31914893617,330.297872340426,310.829787234043,312.574468085106
means,æ,753.808695652174,790.317391304348,1506.48260869565,1490.82608695652,2560.27391304348,2572.73913043478,282.926086956522,252.404347826087,158.008695652174,150.773913043478,330.747826086957,321.086956521739
means,aj,773.212121212121,688.290043290043,1273.12554112554,1666.34199134199,2500.77489177489,2525.82683982684,321.177489177489,346.52380952381,234.5670995671,176.948051948052,317.203463203463,308.961038961039
means,aw,819.147540983607,835.049180327869,1464.3606557377,1234.03278688525,2541.50819672131,2614.13114754098,238.672131147541,242.16393442623,117.344262295082,303.672131147541,243.147540983607,325.196721311475
means,ɔj,530.5,502.875,1094.25,1295.75,2415.875,2321.125,355.75,329.75,314.625,131.25,284,258.125
means,ə,537.111987381703,478.211356466877,1563.28075709779,1499.97634069401,2557.77760252366,2503.50788643533,263.039432176656,212.116719242902,203.681388012618,213.178233438486,305.061514195584,280.572555205047
means,ɚ,480.055555555556,497.5,1263.72222222222,1276.77777777778,2133.11111111111,2078.5,164.666666666667,169.722222222222,205.277777777778,116.666666666667,199.388888888889,233.944444444444
means,ej,564.333333333333,442.843137254902,1781.38235294118,2004.86274509804,2497.58823529412,2527.27450980392,189.617647058824,172.137254901961,138.764705882353,301,245.813725490196,388.794117647059
means,əw,557.625,462.75,1454.4375,1436.33333333333,2444.29166666667,2298.20833333333,236.625,169.083333333333,134.770833333333,180.291666666667,224,194.208333333333
means,ɛ,612.690582959641,633.506726457399,1615.33632286996,1644.0269058296,2535.14349775785,2552.73542600897,268.582959641256,263.322869955157,132.515695067265,135.941704035874,263.2466367713,237.42600896861
means,ɛː,554,592,1583.3125,1648.0625,2494.625,2545.3125,118.6875,137.6875,81.5625,100.25,223,249.6875
means,ɜː,601.365384615385,620.038461538462,1319.90384615385,1372.36538461538,2518.42307692308,2520.01923076923,197.307692307692,209.980769230769,101.519230769231,97.3076923076923,185.192307692308,196.711538461538
means,i,374.233333333333,359.693333333333,2074.28,2115.17333333333,2534.79333333333,2591.71333333333,130.6,107.966666666667,204.9,221.466666666667,306.62,331.546666666667
means,ɪ,499.142581888247,441.947976878613,1799.39691714836,1849.76300578035,2551.12138728324,2533.47206165703,248.971098265896,190.924855491329,224.121387283237,201.40655105973,314.876685934489,271.6204238921
means,iː,351.035294117647,328.029411764706,2193.08823529412,2257.47058823529,2656.18823529412,2697.2,134.5,101.8,259.464705882353,217.658823529412,325.182352941176,435
means,ow,554.770491803279,492.327868852459,1360.3606557377,1285.54098360656,2381.29508196721,2387.26229508197,260.311475409836,215.131147540984,145.704918032787,175.44262295082,189.639344262295,197.360655737705
means,ʉ,332.962962962963,365,1878.33333333333,1391.07407407407,2299.66666666667,2351.40740740741,132.074074074074,162.148148148148,231.259259259259,238.444444444444,195.259259259259,171.962962962963
means,ʊ,405.795454545455,422.340909090909,1552.27272727273,1481.34090909091,2429.77272727273,2377.45454545455,221.181818181818,189.227272727273,188.954545454545,178.590909090909,321.818181818182,218.590909090909
means,ʉː,371.016949152542,351.983050847458,1848.79661016949,1683.76271186441,2391.64406779661,2351.98305084746,131.406779661017,126.728813559322,171.813559322034,286.186440677966,261.491525423729,214.28813559322
matrix,ə,65986.2259856175,16186.0252664942,41612.6841488879,11982.8588938558,43772.9443763362,12663.0393997837,20999.3541869123,12221.1369872571,22580.8193071897,7658.58980320042,19302.7434952482,7993.11903409232
matrix,ə,16186.0252664942,23653.560313165,3706.34341002985,7117.85334967931,9078.97282979752,13960.9983305176,474.250736316474,8260.35601835932,3661.30125435436,5238.62261724999,4736.02015339304,414.904072041902
matrix,ə,41612.6841488879,3706.34341002985,100704.243325808,57674.9829563293,52040.8145130344,20204.7987301967,13946.9209811573,5251.91188621606,26350.9094991055,15430.3780007077,28363.3397321851,9678.29397341785
matrix,ə,11982.8588938558,7117.85334967931,57674.9829563293,70175.7071802692,19719.8525498228,22490.5349420166,6809.83189807686,-2053.00197347766,7483.75706290709,10042.6424541889,13312.5638589462,14022.6233622876
matrix,ə,43772.9443763362,9078.97282979752,52040.8145130344,19719.8525498228,77391.4654691245,34731.1731626973,20294.7465401847,8798.20609385979,22318.8437215004,13377.1439666901,17178.1795789914,10153.6630810172
matrix,ə,12663.0393997837,13960.9983305176,20204.7987301967,22490.5349420166,34731.1731626973,52004.5410119555,4730.46809295279,2263.85215861577,6158.15101589248,6047.73555897758,6474.66539088313,4130.62659909001
