type,phone,F1_25,F2_25,F3_25,B1_25,B2_25,B3_25,F1_75,F2_75,F3_75,B1_75,B2_75,B3_75
means,i,391.645344436,2219.5904617714,2966.2165026495,1.774969366,2.2589480998,2.3862240499,397.5128690386,2130.1298258895,2913.1021953066,1.9024712482,2.3582821058,2.4747703945
means,y,383.5249169435,2006.1295681063,2709.6303986711,1.8007098756,2.2720554874,2.3821890689,376.311461794,1937.823089701,2673.7333887043,1.8030073374,2.2928396916,2.4176689977
means,e,426.7768052516,2266.5010940919,2899.6214442013,1.6999734212,2.2610063728,2.4237930411,384.363238512,2339.1050328228,2906.4989059081,1.8224378176,2.3273659444,2.4660532787
means,ø,426.0407876231,1697.1054852321,2372.4135021097,1.6126616356,2.1390504357,2.3342794761,400.8945147679,1682.6736990155,2302.6990154712,1.7936390757,2.2523474347,2.4921821071
means,ɛ,610.4626391097,1843.2639109698,2730.0476947536,1.9086073648,2.2574387867,2.3810056253,588.5405405405,1957.1510333863,2741.9841017488,2.0156598817,2.2883609414,2.4256273282
means,ɛ̃,612.4966442953,1894.0536912752,2832.4765100671,2.1563433427,2.2030216012,2.4285016144,495.9395973154,2116.7516778524,2890.0536912752,2.2739169869,2.387182546,2.5573395287
means,œ,706.7808988764,1372.9241573034,2530.9424157303,2.0758198698,2.1745991711,2.4149680385,646.683988764,1478.3188202247,2293.1952247191,2.1134806315,2.2764524688,2.4512110066
means,œ̃,625.8693333333,1507.716,2389.0546666667,2.2423352694,2.2242500215,2.5640561943,513.956,1595.4813333333,2296.4106666667,2.3618398799,2.3244775153,2.626780823
means,ə,467.8118466899,1834.8292682927,2637.2299651568,1.6512362788,2.147162184,2.2542500032,480.0905923345,1791.3449477352,2644.5644599303,1.8679664548,2.166624155,2.3323657435
means,a,700.8855421687,1695.171686747,2740.5210843374,2.0901042659,2.220262015,2.4319315511,703.9126506024,1664.2951807229,2744.8960843374,2.1474570249,2.2618962043,2.4492986649
means,ɑ̃,737.619047619,1445.0952380952,2630.5857142857,2.34744605,2.1527917176,2.6484827177,614.1,1384.8285714286,2617.7571428571,2.4619883157,2.2523703294,2.7848224966
means,ɔ̃,615.2837837838,1063.3310810811,2454.0945945946,2.3669552371,2.1826401256,2.6611508765,470.0878378378,1093.6756756757,2430.8783783784,2.4270627013,2.6068373338,2.8355520402
means,ɔ,578.3421052632,1364.8815789474,2674.9605263158,1.8018419757,2.0045331569,2.2358797656,578.2828947368,1401.302631579,2692.875,1.8033470015,2.0614544933,2.2455232383
means,o,432.4102564103,997.0769230769,2654.2884615385,1.6216107411,2.0501572271,2.3299655001,398.4551282051,931.6602564103,2664.0384615385,2.1521275417,2.6212264314,2.6762669268
means,u,394.0970654628,1259.1489841987,2562.079006772,1.7893575413,2.2807751528,2.4280262018,380.7471783296,1258.8702031603,2610.9006772009,1.8759736698,2.3886737002,2.4972174835
