type,phone,F1_25,F2_25,F3_25,B1_25,B2_25,B3_25,F1_75,F2_75,F3_75,B1_75,B2_75,B3_75
means,i,354.280373831776,2287.43925233645,3263.5046728972,1.91964462639277,2.21319361575258,2.67768671798405,327.775700934579,2333.70093457944,3256.3738317757,2.00332493552374,2.23772079226657,2.66031734823078
means,i˞,383.736842105263,1985.73684210526,2716.47368421053,1.87136429681156,2.00613971979132,2.61411800515473,356.052631578947,2092.84210526316,2837.21052631579,1.85252055207178,2.01515361467828,2.73923677528619
means,ĩ˞,444.25,2186.3125,3083.6875,2.00585012089407,2.09593560704236,2.68404925525287,370.6875,2411.25,3249.375,1.96996264600049,2.36824768492776,2.85618746720104
means,ĩ,363.315789473684,2339.05263157895,3231.21052631579,2.0867866027794,2.26636784609527,2.52769485331707,365.052631578947,2383.36842105263,3305.36842105263,2.01691041151728,2.30908292484936,2.62225259252233
means,e,495.828571428571,1989.4,3048.68571428571,1.93829354470068,2.03722483131567,2.79685767244918,544.485714285714,1944.6,3020.4,2.01227138204535,2.11133625904783,2.84909714112426
means,e˞,553.714285714286,1563.21428571429,1914.85714285714,1.85561528644286,2.07811813229942,2.32311866544055,559.642857142857,1601,1950.14285714286,1.81775773907947,2.26261499980963,2.29220608352229
means,ẽ˞,544.954545454545,1782.09090909091,2254.77272727273,1.96852242041628,2.12229166297531,2.47347833574775,550.318181818182,1783.54545454545,2175.90909090909,2.11617951709773,2.26706618566266,2.58545860845961
means,ẽ,545.48275862069,2102.34482758621,3226.48275862069,1.99244459149819,2.20852446471173,2.68795740682682,504.379310344828,2083.48275862069,3273.44827586207,2.20035515163305,2.3823702611347,2.73703834592052
means,a,670.760073260073,1310.49816849817,2690.13003663004,1.95764886218507,2.33770962561019,2.63478833673312,663.393772893773,1297.66666666667,2722.55128205128,2.01184561794308,2.3520691109649,2.76447705589947
means,a˞,645.166666666667,1504.72222222222,2048.44444444444,1.77480878175745,2.41742952277511,2.35745755484357,676.861111111111,1424.27777777778,1992.66666666667,1.96204552917841,2.33061965723497,2.37088356305703
means,ã˞,608.625,1671.79166666667,2225.79166666667,1.95303898933747,2.18112016770916,2.47404104796182,598,1490.91666666667,2087.375,2.07319796706965,2.33138751387955,2.59770273578623
means,o,527.567567567568,869.918918918919,2832.64864864865,2.02073668535604,2.32395798323267,2.59998750461091,513.891891891892,996.72972972973,2935,2.10104874345056,2.35024234621055,2.7469199419646
means,o˞,517.260869565217,1345.26086956522,1875.65217391304,1.78671828228719,2.41450731449575,2.34388120276718,511.782608695652,1279,1781.60869565217,1.73009080193403,2.43081535557792,2.4693846652443
means,õ˞,542.8,1256.75,1825.4,1.75944353429317,2.46928691974004,2.28046165348537,550.4,1019.45,1810,2.22353026055919,2.41189648634057,2.08482095137647
means,õ,510.066666666667,1066.11111111111,2849.93333333333,2.06142385567718,2.49756696411169,2.57279189946141,542.466666666667,1111.88888888889,2775.46666666667,2.03495167192083,2.39405469319941,2.72034472087257
means,u,368.223684210526,972.815789473684,2507.15789473684,1.86310323755125,2.31912793628905,2.57953812772841,353.105263157895,921.381578947368,2522.34210526316,1.9733694984759,2.40774194107528,2.59742688762686
means,u˞,388.457142857143,1038.34285714286,1968.6,1.81833753080651,2.27512863835926,2.64390995790307,396.542857142857,1055.6,2152.77142857143,1.89978898424601,2.25191338319715,2.68133395804172
means,ũ˞,427.315789473684,1005.15789473684,1942.47368421053,2.16958803490251,2.56033797431193,2.4459831373755,439.684210526316,933.105263157895,1945.47368421053,2.18188647111212,2.5899999994778,2.34918706437476
means,ũ,433.714285714286,906.142857142857,2501.35714285714,2.34588600275121,2.3778659338438,2.3339518605315,343.214285714286,971.357142857143,2645.28571428571,2.30833329490488,2.75208412056645,2.58374695413277
means,iː,354.280373831776,2287.43925233645,3263.5046728972,1.91964462639277,2.21319361575258,2.67768671798405,327.775700934579,2333.70093457944,3256.3738317757,2.00332493552374,2.23772079226657,2.66031734823078
means,i˞ː,383.736842105263,1985.73684210526,2716.47368421053,1.87136429681156,2.00613971979132,2.61411800515473,356.052631578947,2092.84210526316,2837.21052631579,1.85252055207178,2.01515361467828,2.73923677528619
means,e˞ː,553.714285714286,1563.21428571429,1914.85714285714,1.85561528644286,2.07811813229942,2.32311866544055,559.642857142857,1601,1950.14285714286,1.81775773907947,2.26261499980963,2.29220608352229
means,aː,670.760073260073,1310.49816849817,2690.13003663004,1.95764886218507,2.33770962561019,2.63478833673312,663.393772893773,1297.66666666667,2722.55128205128,2.01184561794308,2.3520691109649,2.76447705589947
means,a˞ː,645.166666666667,1504.72222222222,2048.44444444444,1.77480878175745,2.41742952277511,2.35745755484357,676.861111111111,1424.27777777778,1992.66666666667,1.96204552917841,2.33061965723497,2.37088356305703
means,ã˞ː,608.625,1671.79166666667,2225.79166666667,1.95303898933747,2.18112016770916,2.47404104796182,598,1490.91666666667,2087.375,2.07319796706965,2.33138751387955,2.59770273578623
means,ãː,670.760073260073,1310.49816849817,2690.13003663004,1.95764886218507,2.33770962561019,2.63478833673312,663.393772893773,1297.66666666667,2722.55128205128,2.01184561794308,2.3520691109649,2.76447705589947
means,ã,670.760073260073,1310.49816849817,2690.13003663004,1.95764886218507,2.33770962561019,2.63478833673312,663.393772893773,1297.66666666667,2722.55128205128,2.01184561794308,2.3520691109649,2.76447705589947
means,o˞ː,517.260869565217,1345.26086956522,1875.65217391304,1.78671828228719,2.41450731449575,2.34388120276718,511.782608695652,1279,1781.60869565217,1.73009080193403,2.43081535557792,2.4693846652443
means,uː,368.223684210526,972.815789473684,2507.15789473684,1.86310323755125,2.31912793628905,2.57953812772841,353.105263157895,921.381578947368,2522.34210526316,1.9733694984759,2.40774194107528,2.59742688762686
