type,phone,F1_50,F2_50,F3_50,B1_50,B2_50,B3_50
means,a,891.08611599297,1753.56766256591,2857.60632688928,221.444639718805,461.95079086116,811.650263620387
means,ə,648.684931506849,1674.2100456621,2922.31506849315,180.397260273973,298.648401826484,541.470319634703
means,ɤ,532.078125,1791.6953125,2914.10416666667,104.109375,334.65625,331.299479166667
means,i,324.659863945578,2781.36054421769,3387.59183673469,73.2925170068027,208.551020408163,607.054421768707
means,ɪ,416.967625899281,2722.53597122302,3311.37050359712,122.13309352518,332.26618705036,588.075539568345
means,ɨ,410.308823529412,1978.99264705882,2944.24264705882,95.6764705882353,289.014705882353,379.632352941176
means,o,561.712074303406,1067.54489164087,3151.16718266254,235.318885448916,146.092879256966,513.040247678019
means,u,354.087912087912,1024.19413919414,3039.45054945055,118.783882783883,179.128205128205,291.260073260073
matrix,a,5720.39926112032,294.111240377237,2031.75931334934,-162.038358003911,-492.981670338375,3313.3224244412
matrix,a,294.111240377237,46164.2810651254,20197.6763317161,-7982.00989195277,50.0315044926855,6225.8555719201
matrix,a,2031.75931334934,20197.6763317161,78415.5384106042,8103.18767481868,-10019.135603604,-14562.6925016708
matrix,a,-162.038358003911,-7982.00989195277,8103.18767481868,32947.1452573084,9676.36522871853,3939.8846537043
matrix,a,-492.981670338375,50.0315044926855,-10019.135603604,9676.36522871853,138147.884898141,-7675.92745179336
matrix,a,3313.3224244412,6225.8555719201,-14562.6925016708,3939.8846537043,-7675.92745179336,352175.041201515
matrix,ɤ,12183.5552382507,1259.4912287859,-1857.2796997389,1852.30735966057,6868.42901436031,7076.1436439295
matrix,ɤ,1259.4912287859,58629.2567925914,5986.98743472585,-239.768154373368,7277.27619125326,9575.6789531658
matrix,ɤ,-1857.2796997389,5986.98743472585,17858.7201914708,3901.98596605744,-1655.977154047,1862.81467580505
matrix,ɤ,1852.30735966057,-239.768154373368,3901.98596605744,4632.78696148825,2702.44239556136,3028.19953492167
matrix,ɤ,6868.42901436031,7277.27619125326,-1655.977154047,2702.44239556136,43819.6778720627,13958.7089588773
matrix,ɤ,7076.1436439295,9575.6789531658,1862.81467580505,3028.19953492167,13958.7089588773,44826.5184331484
matrix,ə,12487.0608269448,2835.16739977378,-4575.83605630263,420.946839261028,4475.42541158728,2095.97455071007
matrix,ə,2835.16739977378,69661.7997151355,-11690.4930878472,-9455.6709815257,-3762.23773616522,-10219.1634619413
matrix,ə,-4575.83605630263,-11690.4930878472,60102.7397260274,4268.64490385824,-9933.57220057811,-2049.47913786603
matrix,ə,420.946839261028,-9455.6709815257,4268.64490385824,7376.92861631268,6907.00270202338,7248.01413849441
matrix,ə,4475.42541158728,-3762.23773616522,-9933.57220057811,6907.00270202338,50267.1556281681,11268.0514431737
matrix,ə,2095.97455071007,-10219.1634619413,-2049.47913786603,7248.01413849441,11268.0514431737,217078.075949897
matrix,ɨ,2895.77058823529,-4321.73104575163,421.946732026144,-240.351198257081,-1814.55272331155,-2767.18191721133
matrix,ɨ,-4321.73104575163,92188.8962418301,18405.8017973856,-320.513507625272,8720.88159041394,12709.6046840959
matrix,ɨ,421.946732026144,18405.8017973856,23147.0295751634,-1267.89128540305,-5521.04803921569,-10672.8434640523
matrix,ɨ,-240.351198257081,-320.513507625272,-1267.89128540305,2701.03529411765,4143.65664488017,1041.88017429194
matrix,ɨ,-1814.55272331155,8720.88159041394,-5521.04803921569,4143.65664488017,54365.1108932462,9551.33877995643
matrix,ɨ,-2767.18191721133,12709.6046840959,-10672.8434640523,1041.88017429194,9551.33877995643,129390.249019608
matrix,o,6883.38578543546,3441.82507739938,2812.34331673173,3964.8250197104,4295.90570736304,9041.99920196912
matrix,o,3441.82507739938,17536.2363325193,-12217.9329942503,-7981.39479453108,2183.71010326327,-4196.27665711594
matrix,o,2812.34331673173,-12217.9329942503,42991.4129569448,4853.28503163279,5023.96889602523,5788.41250504779
matrix,o,3964.8250197104,-7981.39479453108,4853.28503163279,74838.776878257,5584.32432744265,16705.1641443763
matrix,o,4295.90570736304,2183.71010326327,5023.96889602523,5584.32432744265,28146.5130857835,5484.65152971944
matrix,o,9041.99920196912,-4196.27665711594,5788.41250504779,16705.1641443763,5484.65152971944,175958.29340615
matrix,ɪ,2859.80039217723,-3454.70099732488,-4096.49337713944,711.098187154248,1643.89312521102,-1675.34772615121
matrix,ɪ,-3454.70099732488,22400.8922032049,20238.4541334441,-1392.53007557853,-51408.5402955614,11876.4900527232
matrix,ɪ,-4096.49337713944,20238.4541334441,45732.2773939693,3143.71224320183,-48226.4094486144,-9673.50823312469
matrix,ɪ,711.098187154248,-1392.53007557853,3143.71224320183,6323.61038100927,4157.45902916656,-5437.7321117835
matrix,ɪ,1643.89312521102,-51408.5402955614,-48226.4094486144,4157.45902916656,378064.066072774,-14835.0382307872
matrix,ɪ,-1675.34772615121,11876.4900527232,-9673.50823312469,-5437.7321117835,-14835.0382307872,289714.568280394
matrix,u,1808.49959599224,2689.83213477699,3045.00436328378,88.581569166128,-278.151018099548,1770.87043471235
matrix,u,2689.83213477699,30338.6423184658,6514.48206205559,2206.74431695755,4229.1000188537,8000.57800043094
matrix,u,3045.00436328378,6514.48206205559,18751.0352294764,2295.93596477052,-1947.06900452489,14541.2279815772
matrix,u,88.581569166128,2206.74431695755,2295.93596477052,7098.43473928033,7177.68222096531,6861.7439129498
matrix,u,-278.151018099548,4229.1000188537,-1947.06900452489,7177.68222096531,49406.7592383107,2147.83418174962
matrix,u,1770.87043471235,8000.57800043094,14541.2279815772,6861.7439129498,2147.83418174962,51074.2225544064
matrix,i,3134.7876246389,-86.2874848569565,-1203.79046687168,817.038533221508,-1839.14691081912,-240.358074736744
matrix,i,-86.2874848569565,5982.67048737303,5608.17556611686,-149.469201379182,-3607.21372658652,11030.1994222346
matrix,i,-1203.79046687168,5608.17556611686,36470.3665082471,212.257198769919,-13958.677662846,19354.1114062063
matrix,i,817.038533221508,-149.469201379182,212.257198769919,1707.16727238841,233.7418227565,-228.46808312366
matrix,i,-1839.14691081912,-3607.21372658652,-13958.677662846,233.7418227565,37592.9477215544,-1056.05074084428
matrix,i,-240.358074736744,11030.1994222346,19354.1114062063,-228.46808312366,-1056.05074084428,148131.723045383
